what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.202.v201108180247,"org.eclipse.jst.ws.jaxrs.core",1350315398521
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1350315398522
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1350315398523
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1350315398524
os,sysinfo,,,"win32",1350315398529
arch,sysinfo,,,"x86",1350315398529
ws,sysinfo,,,"win32",1350315398529
locale,sysinfo,,,"en_US",1350315398529
processors,sysinfo,,,"2",1350315398529
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350315398529
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1350315398529
java.specification.name,sysinfo,,,"Java Platform API Specification",1350315398529
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350315398529
java.specification.version,sysinfo,,,"1.6",1350315398529
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1350315398529
java.version,sysinfo,,,"1.6.0_25",1350315398529
java.vm.info,sysinfo,,,"mixed mode, sharing",1350315398529
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1350315398529
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350315398529
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350315398529
java.vm.specification.version,sysinfo,,,"1.0",1350315398529
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350315398529
java.vm.version,sysinfo,,,"20.0-b11",1350315398529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350315401870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350315456190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350315457501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350315464900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350315466161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350315469311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350315472255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350316042637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350316489773
started,bundle,edu.umd.cs.findbugs.plugin.eclipse,2.0.0.20111221,"edu.umd.cs.findbugs.plugin.eclipse",1350316521932
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350316527986
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1350316528548
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1350316528587
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1350316528622
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1350316528852
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1350316529200
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1350316529479
opened,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1350316529807
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1350316529847
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1350316529887
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1350316531958
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.203.v201109140236,"org.eclipse.wst.ws.service.policy.ui",1350316532495
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1350316532523
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1350316532720
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1350316532722
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1350316532971
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1350316533019
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1350316534006
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1350316537247
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1350316538289
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1350316540980
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350316544753
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1350316557049
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1350316557330
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1350316558348
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1350316558827
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1350316558990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350316559561
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1350316559589
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350317577381
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350317579923
