what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637283532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637290343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1350637295816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637296418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637302359
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350637306687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637312936
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637314902
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350637315235
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350637315285
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350637320140
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350637326017
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1350637328615
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350637329667
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350637329843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1350637335435
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350637339427
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350637339620
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1350637341062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637350782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637351679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637353631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637368869
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637425828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637428591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637433005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1350637434556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1350637449930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1350637502089
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1350637503837
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350637505648
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350637505811
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1350637517910
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350637519104
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1350637524325
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1350637528177
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350637538508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1350637564074
